CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
UBG00174JO210531,New Incorporation,,,,2025-10-19
UBG00175JO622600,New Incorporation,,,,2025-10-19
UBG00176JO560438,New Incorporation,,,,2025-10-19
UBG00177JO378937,New Incorporation,,,,2025-10-19
UBG00178JO244697,New Incorporation,,,,2025-10-19
UBG00179JO564077,New Incorporation,,,,2025-10-19
UBG00180JO555157,New Incorporation,,,,2025-10-19
UBG00181JO521530,New Incorporation,,,,2025-10-19
UBG00182JO653429,New Incorporation,,,,2025-10-19
UBG00183JO462021,New Incorporation,,,,2025-10-19
UBG00184JO860321,New Incorporation,,,,2025-10-19
UBG00185JO457259,New Incorporation,,,,2025-10-19
UBG00186JO972655,New Incorporation,,,,2025-10-19
UBG00187JO757446,New Incorporation,,,,2025-10-19
UBG00188JO455446,New Incorporation,,,,2025-10-19
UBG00189JO413735,New Incorporation,,,,2025-10-19
UBG00190JO443772,New Incorporation,,,,2025-10-19
UBG00191JO185927,New Incorporation,,,,2025-10-19
UBG00192JO651818,New Incorporation,,,,2025-10-19
UBG00193JO543990,New Incorporation,,,,2025-10-19
UCH00166KP653545,New Incorporation,,,,2025-10-19
UCH00167KP291542,New Incorporation,,,,2025-10-19
UCH00168KP441092,New Incorporation,,,,2025-10-19
UCH00169KP439966,New Incorporation,,,,2025-10-19
UCH00170KP633328,New Incorporation,,,,2025-10-19
UCH00171KP607690,New Incorporation,,,,2025-10-19
UCH00172KP900040,New Incorporation,,,,2025-10-19
UCH00173KP491438,New Incorporation,,,,2025-10-19
UCH00174KP969659,New Incorporation,,,,2025-10-19
UCH00175KP498619,New Incorporation,,,,2025-10-19
UCH00176KP194073,New Incorporation,,,,2025-10-19
UCH00177KP629342,New Incorporation,,,,2025-10-19
UCH00178KP357874,New Incorporation,,,,2025-10-19
UCH00179KP102146,New Incorporation,,,,2025-10-19
UCH00180KP664271,New Incorporation,,,,2025-10-19
UCH00181KP229410,New Incorporation,,,,2025-10-19
UCH00182KP585168,New Incorporation,,,,2025-10-19
UCH00183KP194336,New Incorporation,,,,2025-10-19
UCH00184KP394394,New Incorporation,,,,2025-10-19
UCH00185KP390819,New Incorporation,,,,2025-10-19
UCH00186KP716735,New Incorporation,,,,2025-10-19
UCH00187KP988843,New Incorporation,,,,2025-10-19
UCH00188KP547861,New Incorporation,,,,2025-10-19
UCH00189KP813213,New Incorporation,,,,2025-10-19
UCH00190KP391433,New Incorporation,,,,2025-10-19
UCH00191KP946906,New Incorporation,,,,2025-10-19
UCH00192KP165896,New Incorporation,,,,2025-10-19
UCH00193KP359159,New Incorporation,,,,2025-10-19
UDI00166LQ576370,New Incorporation,,,,2025-10-19
UDI00167LQ754227,New Incorporation,,,,2025-10-19
UDI00168LQ480441,New Incorporation,,,,2025-10-19
UDI00169LQ762002,New Incorporation,,,,2025-10-19
UDI00170LQ374725,New Incorporation,,,,2025-10-19
UDI00171LQ206105,New Incorporation,,,,2025-10-19
UDI00172LQ578364,New Incorporation,,,,2025-10-19
UDI00173LQ251448,New Incorporation,,,,2025-10-19
UDI00174LQ356428,New Incorporation,,,,2025-10-19
UDI00175LQ359178,New Incorporation,,,,2025-10-19
UDI00176LQ929420,New Incorporation,,,,2025-10-19
UDI00177LQ644098,New Incorporation,,,,2025-10-19
UDI00178LQ381370,New Incorporation,,,,2025-10-19
UDI00179LQ345770,New Incorporation,,,,2025-10-19
UDI00180LQ188876,New Incorporation,,,,2025-10-19
UDI00181LQ637145,New Incorporation,,,,2025-10-19
UDI00182LQ386281,New Incorporation,,,,2025-10-19
UDI00183LQ408824,New Incorporation,,,,2025-10-19
UDI00184LQ224348,New Incorporation,,,,2025-10-19
UDI00185LQ417420,New Incorporation,,,,2025-10-19
UDI00186LQ907483,New Incorporation,,,,2025-10-19
UDI00187LQ785864,New Incorporation,,,,2025-10-19
UDI00188LQ345076,New Incorporation,,,,2025-10-19
UDI00189LQ986887,New Incorporation,,,,2025-10-19
UDI00190LQ245699,New Incorporation,,,,2025-10-19
UDI00191LQ539507,New Incorporation,,,,2025-10-19
UDI00192LQ261156,New Incorporation,,,,2025-10-19
UDI00193LQ509611,New Incorporation,,,,2025-10-19
UEJ00166MR128015,New Incorporation,,,,2025-10-19
UEJ00167MR139609,New Incorporation,,,,2025-10-19
UEJ00168MR171551,New Incorporation,,,,2025-10-19
UEJ00169MR278875,New Incorporation,,,,2025-10-19
UEJ00170MR181354,New Incorporation,,,,2025-10-19
UEJ00171MR136118,New Incorporation,,,,2025-10-19
UEJ00172MR823880,New Incorporation,,,,2025-10-19
UEJ00173MR492843,New Incorporation,,,,2025-10-19
UEJ00174MR801444,New Incorporation,,,,2025-10-19
UEJ00175MR438354,New Incorporation,,,,2025-10-19
UEJ00176MR324164,New Incorporation,,,,2025-10-19
UEJ00177MR323103,New Incorporation,,,,2025-10-19
UEJ00178MR531066,New Incorporation,,,,2025-10-19
UEJ00179MR199346,New Incorporation,,,,2025-10-19
UEJ00180MR766216,New Incorporation,,,,2025-10-19
UEJ00181MR635849,New Incorporation,,,,2025-10-19
UEJ00182MR895807,New Incorporation,,,,2025-10-19
UEJ00183MR622952,New Incorporation,,,,2025-10-19
UEJ00184MR444656,New Incorporation,,,,2025-10-19
UEJ00185MR340134,New Incorporation,,,,2025-10-19
UEJ00186MR830100,New Incorporation,,,,2025-10-19
UEJ00187MR615524,New Incorporation,,,,2025-10-19
UEJ00188MR675507,New Incorporation,,,,2025-10-19
UEJ00189MR856729,New Incorporation,,,,2025-10-19
UEJ00190MR311184,New Incorporation,,,,2025-10-19
UEJ00191MR629837,New Incorporation,,,,2025-10-19
UEJ00192MR895720,New Incorporation,,,,2025-10-19
UEJ00193MR420704,New Incorporation,,,,2025-10-19
UAF00016IN211579,Deregistered,,,,2025-10-19
UAF00036IN356150,Deregistered,,,,2025-10-19
UAF00066IN273061,Deregistered,,,,2025-10-19
UAF00069IN885408,Deregistered,,,,2025-10-19
UAF00084IN878967,Deregistered,,,,2025-10-19
UAF00097IN522060,Deregistered,,,,2025-10-19
UAF00104IN313446,Deregistered,,,,2025-10-19
UAF00145IN814622,Deregistered,,,,2025-10-19
UAF00150IN175231,Deregistered,,,,2025-10-19
UBG00012JO986209,Deregistered,,,,2025-10-19
UBG00022JO524068,Deregistered,,,,2025-10-19
UBG00047JO956375,Deregistered,,,,2025-10-19
UBG00048JO185569,Deregistered,,,,2025-10-19
UBG00080JO772612,Deregistered,,,,2025-10-19
UBG00084JO639995,Deregistered,,,,2025-10-19
UBG00106JO214532,Deregistered,,,,2025-10-19
UBG00112JO992400,Deregistered,,,,2025-10-19
UBG00125JO166857,Deregistered,,,,2025-10-19
UCH00034KP319832,Deregistered,,,,2025-10-19
UCH00035KP364955,Deregistered,,,,2025-10-19
UCH00038KP934908,Deregistered,,,,2025-10-19
UCH00043KP938913,Deregistered,,,,2025-10-19
UCH00114KP161437,Deregistered,,,,2025-10-19
UCH00126KP111949,Deregistered,,,,2025-10-19
UCH00133KP478356,Deregistered,,,,2025-10-19
UCH00138KP338564,Deregistered,,,,2025-10-19
UCH00140KP893969,Deregistered,,,,2025-10-19
UDI00015LQ783238,Deregistered,,,,2025-10-19
UDI00020LQ257212,Deregistered,,,,2025-10-19
UDI00027LQ412848,Deregistered,,,,2025-10-19
UDI00065LQ104548,Deregistered,,,,2025-10-19
UDI00091LQ506881,Deregistered,,,,2025-10-19
UDI00094LQ962057,Deregistered,,,,2025-10-19
UDI00121LQ960307,Deregistered,,,,2025-10-19
UDI00142LQ881782,Deregistered,,,,2025-10-19
UDI00162LQ503472,Deregistered,,,,2025-10-19
UEJ00024MR715429,Deregistered,,,,2025-10-19
UEJ00028MR232552,Deregistered,,,,2025-10-19
UEJ00045MR477934,Deregistered,,,,2025-10-19
UEJ00050MR859587,Deregistered,,,,2025-10-19
UEJ00082MR114400,Deregistered,,,,2025-10-19
UEJ00090MR625600,Deregistered,,,,2025-10-19
UEJ00123MR935434,Deregistered,,,,2025-10-19
UEJ00130MR493468,Deregistered,,,,2025-10-19
UEJ00154MR818596,Deregistered,,,,2025-10-19
UAF00003IN571029,Field Update,Authorized_Capital,5000000.0,7500000.0,2025-10-19
UAF00010IN944151,Field Update,Company_Status,Active,Dormant,2025-10-19
UAF00015IN407757,Field Update,Authorized_Capital,10000000.0,15000000.0,2025-10-19
UAF00024IN922733,Field Update,Authorized_Capital,200000.0,240000.0,2025-10-19
UAF00027IN179046,Field Update,Authorized_Capital,200000.0,160000.0,2025-10-19
UAF00048IN725550,Field Update,Authorized_Capital,2000000.0,1600000.0,2025-10-19
UAF00049IN299312,Field Update,Authorized_Capital,2000000.0,3000000.0,2025-10-19
UAF00061IN181247,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UAF00074IN920652,Field Update,Company_Status,Active,Strike Off,2025-10-19
UAF00079IN322423,Field Update,Authorized_Capital,1000000.0,1500000.0,2025-10-19
UAF00086IN288158,Field Update,Authorized_Capital,200000.0,300000.0,2025-10-19
UAF00087IN232413,Field Update,Authorized_Capital,100000.0,120000.0,2025-10-19
UAF00091IN564226,Field Update,Company_Status,Amalgamated,Strike Off,2025-10-19
UAF00103IN668950,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UAF00112IN795928,Field Update,Authorized_Capital,5000000.0,4000000.0,2025-10-19
UAF00118IN551607,Field Update,Company_Status,Strike Off,Dormant,2025-10-19
UAF00119IN182804,Field Update,Authorized_Capital,10000000.0,15000000.0,2025-10-19
UAF00127IN535686,Field Update,Authorized_Capital,100000.0,150000.0,2025-10-19
UAF00128IN964749,Field Update,Authorized_Capital,2000000.0,1600000.0,2025-10-19
UAF00132IN963874,Field Update,Authorized_Capital,2000000.0,2400000.0,2025-10-19
UAF00133IN616554,Field Update,Company_Status,Active,Strike Off,2025-10-19
UAF00135IN134305,Field Update,Company_Status,Amalgamated,Dormant,2025-10-19
UAF00141IN846490,Field Update,Authorized_Capital,200000.0,160000.0,2025-10-19
UAF00147IN395917,Field Update,Company_Status,Strike Off,Active,2025-10-19
UAF00151IN945091,Field Update,Company_Status,Active,Dormant,2025-10-19
UAF00153IN348250,Field Update,Authorized_Capital,2000000.0,2400000.0,2025-10-19
UAF00165IN586554,Field Update,Authorized_Capital,500000.0,600000.0,2025-10-19
UBG00002JO722503,Field Update,Company_Status,Strike Off,Dormant,2025-10-19
UBG00004JO184714,Field Update,Authorized_Capital,100000.0,80000.0,2025-10-19
UBG00005JO726410,Field Update,Company_Status,Strike Off,Active,2025-10-19
UBG00030JO996840,Field Update,Authorized_Capital,500000.0,400000.0,2025-10-19
UBG00032JO208529,Field Update,Authorized_Capital,2000000.0,1600000.0,2025-10-19
UBG00049JO244283,Field Update,Authorized_Capital,5000000.0,6000000.0,2025-10-19
UBG00053JO250551,Field Update,Authorized_Capital,2000000.0,3000000.0,2025-10-19
UBG00070JO228594,Field Update,Authorized_Capital,500000.0,400000.0,2025-10-19
UBG00074JO853789,Field Update,Company_Status,Amalgamated,Active,2025-10-19
UBG00075JO588461,Field Update,Company_Status,Active,Strike Off,2025-10-19
UBG00087JO194423,Field Update,Authorized_Capital,1500000.0,1800000.0,2025-10-19
UBG00088JO618934,Field Update,Authorized_Capital,500000.0,600000.0,2025-10-19
UBG00089JO377319,Field Update,Company_Status,Amalgamated,Dormant,2025-10-19
UBG00094JO968524,Field Update,Authorized_Capital,500000.0,400000.0,2025-10-19
UBG00104JO958130,Field Update,Company_Status,Amalgamated,Active,2025-10-19
UBG00108JO677086,Field Update,Company_Status,Strike Off,Dormant,2025-10-19
UBG00115JO247442,Field Update,Authorized_Capital,1500000.0,1800000.0,2025-10-19
UBG00117JO800224,Field Update,Authorized_Capital,500000.0,750000.0,2025-10-19
UBG00118JO223119,Field Update,Authorized_Capital,2000000.0,2400000.0,2025-10-19
UBG00127JO793939,Field Update,Company_Status,Active,Dormant,2025-10-19
UBG00131JO726822,Field Update,Company_Status,Active,Dormant,2025-10-19
UBG00133JO726962,Field Update,Authorized_Capital,200000.0,240000.0,2025-10-19
UBG00140JO319036,Field Update,Authorized_Capital,10000000.0,15000000.0,2025-10-19
UBG00141JO952283,Field Update,Company_Status,Active,Dormant,2025-10-19
UBG00154JO835363,Field Update,Authorized_Capital,100000.0,80000.0,2025-10-19
UBG00155JO278980,Field Update,Company_Status,Dormant,Amalgamated,2025-10-19
UBG00161JO250038,Field Update,Company_Status,Active,Dormant,2025-10-19
UCH00004KP253011,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UCH00007KP246757,Field Update,Company_Status,Strike Off,Dormant,2025-10-19
UCH00009KP258366,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UCH00020KP343420,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UCH00030KP107096,Field Update,Authorized_Capital,1000000.0,1200000.0,2025-10-19
UCH00032KP828716,Field Update,Authorized_Capital,1000000.0,1200000.0,2025-10-19
UCH00042KP170437,Field Update,Authorized_Capital,1200000.0,1800000.0,2025-10-19
UCH00045KP873207,Field Update,Company_Status,Amalgamated,Strike Off,2025-10-19
UCH00046KP391865,Field Update,Authorized_Capital,100000.0,120000.0,2025-10-19
UCH00060KP467856,Field Update,Authorized_Capital,200000.0,300000.0,2025-10-19
UCH00061KP380329,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UCH00070KP515594,Field Update,Company_Status,Active,Dormant,2025-10-19
UCH00083KP187657,Field Update,Company_Status,Active,Dormant,2025-10-19
UCH00087KP223791,Field Update,Authorized_Capital,200000.0,240000.0,2025-10-19
UCH00088KP577309,Field Update,Authorized_Capital,100000.0,150000.0,2025-10-19
UCH00105KP524035,Field Update,Company_Status,Active,Strike Off,2025-10-19
UCH00106KP112537,Field Update,Authorized_Capital,800000.0,1200000.0,2025-10-19
UCH00111KP602300,Field Update,Authorized_Capital,500000.0,750000.0,2025-10-19
UCH00113KP626797,Field Update,Company_Status,Strike Off,Active,2025-10-19
UCH00118KP158896,Field Update,Authorized_Capital,200000.0,160000.0,2025-10-19
UCH00131KP555292,Field Update,Authorized_Capital,1000000.0,1500000.0,2025-10-19
UCH00137KP164633,Field Update,Company_Status,Active,Dormant,2025-10-19
UCH00139KP413369,Field Update,Authorized_Capital,5000000.0,4000000.0,2025-10-19
UCH00148KP483349,Field Update,Company_Status,Active,Strike Off,2025-10-19
UCH00153KP580115,Field Update,Authorized_Capital,10000000.0,12000000.0,2025-10-19
UCH00154KP830943,Field Update,Authorized_Capital,100000.0,80000.0,2025-10-19
UCH00157KP722180,Field Update,Authorized_Capital,2000000.0,3000000.0,2025-10-19
UCH00158KP280079,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UDI00002LQ683390,Field Update,Company_Status,Active,Dormant,2025-10-19
UDI00010LQ631413,Field Update,Authorized_Capital,200000.0,300000.0,2025-10-19
UDI00014LQ505343,Field Update,Authorized_Capital,5000000.0,6000000.0,2025-10-19
UDI00016LQ364650,Field Update,Authorized_Capital,4000000.0,6000000.0,2025-10-19
UDI00017LQ328808,Field Update,Authorized_Capital,1000000.0,1200000.0,2025-10-19
UDI00018LQ794530,Field Update,Authorized_Capital,2000000.0,3000000.0,2025-10-19
UDI00026LQ765213,Field Update,Company_Status,Dormant,Active,2025-10-19
UDI00033LQ502181,Field Update,Authorized_Capital,500000.0,400000.0,2025-10-19
UDI00036LQ122977,Field Update,Authorized_Capital,5000000.0,4000000.0,2025-10-19
UDI00038LQ823255,Field Update,Authorized_Capital,5000000.0,6000000.0,2025-10-19
UDI00039LQ828961,Field Update,Company_Status,Active,Dormant,2025-10-19
UDI00060LQ448098,Field Update,Authorized_Capital,10000000.0,12000000.0,2025-10-19
UDI00085LQ815706,Field Update,Company_Status,Active,Strike Off,2025-10-19
UDI00086LQ962043,Field Update,Authorized_Capital,5000000.0,4000000.0,2025-10-19
UDI00087LQ638857,Field Update,Company_Status,Active,Dormant,2025-10-19
UDI00089LQ956429,Field Update,Authorized_Capital,2000000.0,3000000.0,2025-10-19
UDI00090LQ176806,Field Update,Authorized_Capital,5000000.0,6000000.0,2025-10-19
UDI00097LQ877446,Field Update,Authorized_Capital,100000.0,150000.0,2025-10-19
UDI00110LQ142383,Field Update,Authorized_Capital,10000000.0,8000000.0,2025-10-19
UDI00111LQ316818,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UDI00114LQ956934,Field Update,Company_Status,Amalgamated,Active,2025-10-19
UDI00117LQ808029,Field Update,Authorized_Capital,600000.0,900000.0,2025-10-19
UDI00126LQ927909,Field Update,Authorized_Capital,2000000.0,1600000.0,2025-10-19
UDI00129LQ315397,Field Update,Company_Status,Amalgamated,Active,2025-10-19
UDI00130LQ996508,Field Update,Company_Status,Active,Strike Off,2025-10-19
UDI00141LQ615780,Field Update,Authorized_Capital,5000000.0,7500000.0,2025-10-19
UDI00151LQ956727,Field Update,Authorized_Capital,500000.0,400000.0,2025-10-19
UDI00153LQ824375,Field Update,Company_Status,Active,Dormant,2025-10-19
UDI00157LQ697935,Field Update,Authorized_Capital,500000.0,600000.0,2025-10-19
UDI00159LQ832045,Field Update,Authorized_Capital,10000000.0,12000000.0,2025-10-19
UDI00161LQ899301,Field Update,Authorized_Capital,100000.0,150000.0,2025-10-19
UEJ00007MR316823,Field Update,Company_Status,Active,Strike Off,2025-10-19
UEJ00009MR430738,Field Update,Company_Status,Strike Off,Dormant,2025-10-19
UEJ00015MR819335,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UEJ00017MR414608,Field Update,Authorized_Capital,1000000.0,1500000.0,2025-10-19
UEJ00018MR953350,Field Update,Authorized_Capital,4000000.0,4800000.0,2025-10-19
UEJ00021MR568640,Field Update,Company_Status,Dormant,Active,2025-10-19
UEJ00029MR666843,Field Update,Authorized_Capital,500000.0,600000.0,2025-10-19
UEJ00048MR162969,Field Update,Company_Status,Strike Off,Dormant,2025-10-19
UEJ00051MR694229,Field Update,Authorized_Capital,2000000.0,1600000.0,2025-10-19
UEJ00054MR649526,Field Update,Authorized_Capital,5000000.0,7500000.0,2025-10-19
UEJ00057MR754280,Field Update,Authorized_Capital,1000000.0,1200000.0,2025-10-19
UEJ00059MR932831,Field Update,Company_Status,Amalgamated,Active,2025-10-19
UEJ00061MR755700,Field Update,Authorized_Capital,200000.0,240000.0,2025-10-19
UEJ00067MR909000,Field Update,Authorized_Capital,240000.0,288000.0,2025-10-19
UEJ00069MR950472,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UEJ00077MR686464,Field Update,Company_Status,Active,Strike Off,2025-10-19
UEJ00081MR491979,Field Update,Company_Status,Active,Strike Off,2025-10-19
UEJ00084MR832697,Field Update,Authorized_Capital,1000000.0,1500000.0,2025-10-19
UEJ00095MR433025,Field Update,Company_Status,Active,Dormant,2025-10-19
UEJ00107MR533648,Field Update,Authorized_Capital,2000000.0,1600000.0,2025-10-19
UEJ00108MR362230,Field Update,Authorized_Capital,5000000.0,4000000.0,2025-10-19
UEJ00125MR414870,Field Update,Company_Status,Active,Strike Off,2025-10-19
UEJ00133MR197102,Field Update,Company_Status,Active,Amalgamated,2025-10-19
UEJ00142MR457833,Field Update,Authorized_Capital,5000000.0,4000000.0,2025-10-19
UEJ00148MR378035,Field Update,Authorized_Capital,10000000.0,15000000.0,2025-10-19
UEJ00149MR453200,Field Update,Authorized_Capital,5000000.0,6000000.0,2025-10-19
UEJ00153MR861911,Field Update,Company_Status,Amalgamated,Active,2025-10-19
UEJ00157MR778346,Field Update,Authorized_Capital,1000000.0,800000.0,2025-10-19
UEJ00158MR993933,Field Update,Authorized_Capital,500000.0,750000.0,2025-10-19
UEJ00159MR526777,Field Update,Authorized_Capital,100000.0,120000.0,2025-10-19
